marque;modele;generation;annee_debut;annee_fin;puissance_ch;masse_kg;ratio_kg_ch;classe;carrosserie;motorisation;statut;motif_exclusion;revision
Abarth;595;Competizione;2012;2023;180;1035;5,75;I;fermee;thermique;actif;;2026
BMW;M135i;F40;2019;;306;1550;5,07;I;fermee;thermique;actif;;2026
Honda;S2000;AP1 AP2;1999;2009;240;1260;5,25;I;decouvrable;thermique;actif;;2026
Hyundai;i30 N;PD Performance;2017;;275;1429;5,20;I;fermee;thermique;actif;;2026
Mazda;MX-5;ND2;2018;;184;1050;5,71;I;decouvrable;thermique;actif;;2026
Mini;John Cooper Works;F56;2015;;231;1275;5,52;I;fermee;thermique;actif;;2026
Nissan;350Z;Z33;2003;2009;280;1530;5,46;I;fermee;thermique;actif;;2026
Peugeot;208;GTi 30th;2015;2019;208;1160;5,58;I;fermee;thermique;actif;;2026
Porsche;911;964 Carrera;1989;1994;250;1350;5,40;I;fermee;thermique;actif;;2026
Porsche;911;993 Carrera;1994;1998;272;1370;5,04;I;fermee;thermique;actif;;2026
Porsche;Boxster;986 S;1999;2004;252;1320;5,24;I;decouvrable;thermique;actif;;2026
Renault;Clio;IV RS Trophy;2015;2019;220;1204;5,47;I;fermee;thermique;actif;;2026
Renault;Megane;IV RS 280;2018;2023;280;1430;5,11;I;fermee;thermique;actif;;2026
Subaru;BRZ;ZD8;2021;;234;1280;5,47;I;fermee;thermique;actif;;2026
Toyota;GR86;ZN8;2021;;234;1280;5,47;I;fermee;thermique;actif;;2026
Volkswagen;Golf;VII GTI Performance;2013;2020;245;1350;5,51;I;fermee;thermique;actif;;2026
Alfa Romeo;4C;960;2013;2020;240;1025;4,27;II;fermee;thermique;actif;;2026
Alpine;A110;Base;2017;;252;1110;4,40;II;fermee;thermique;actif;;2026
Alpine;A110;S;2019;;300;1114;3,71;II;fermee;thermique;actif;;2026
Alpine;A110;R;2022;;300;1082;3,61;II;fermee;thermique;actif;;2026
Audi;RS e-tron GT;J1;2021;;598;2347;3,92;II;fermee;electrique;actif;;2026
Audi;RS3;8V;2015;2020;367;1520;4,14;II;fermee;thermique;actif;;2026
Audi;RS3;8Y;2021;;400;1570;3,92;II;fermee;thermique;actif;;2026
Audi;RS4;B9 Avant;2017;;450;1790;3,98;II;fermee;thermique;actif;;2026
Audi;TT RS;8S;2016;2022;400;1450;3,62;II;fermee;thermique;actif;;2026
BMW;M2;F87;2016;2021;370;1495;4,04;II;fermee;thermique;actif;;2026
BMW;M2;G87;2023;;460;1725;3,75;II;fermee;thermique;actif;;2026
BMW;M240i;G42;2021;;374;1690;4,52;II;fermee;thermique;actif;;2026
BMW;M3;E46;2000;2006;343;1570;4,58;II;fermee;thermique;actif;;2026
BMW;M3;E92;2007;2013;420;1655;3,94;II;fermee;thermique;actif;;2026
BMW;M3;F80;2014;2018;431;1595;3,70;II;fermee;thermique;actif;;2026
BMW;M4;F82;2014;2020;431;1572;3,65;II;fermee;thermique;actif;;2026
BMW;Z4;M40i G29;2018;;340;1610;4,74;II;decouvrable;thermique;actif;;2026
Caterham;Seven;310;2017;;152;540;3,55;II;decouvrable;thermique;actif;;2026
Cupra;Leon;VZ 300;2020;;300;1450;4,83;II;fermee;thermique;actif;;2026
Ford;Mustang;VI GT V8;2015;2023;450;1740;3,87;II;fermee;thermique;actif;;2026
Honda;Civic Type R;FK8;2017;2021;320;1380;4,31;II;fermee;thermique;actif;;2026
Honda;Civic Type R;FL5;2022;;329;1429;4,34;II;fermee;thermique;actif;;2026
Lotus;Elise;S2 111S;2004;2011;192;860;4,48;II;decouvrable;thermique;actif;;2026
Lotus;Elise;S3 S 220;2011;2021;220;924;4,20;II;decouvrable;thermique;actif;;2026
Lotus;Emira;V6;2022;;405;1458;3,60;II;fermee;thermique;actif;;2026
Lotus;Evora;S;2010;2021;350;1437;4,11;II;fermee;thermique;actif;;2026
Mercedes-AMG;A45;W176;2015;2018;381;1480;3,88;II;fermee;thermique;actif;;2026
Mercedes-AMG;A45 S;W177;2019;;421;1550;3,68;II;fermee;thermique;actif;;2026
Nissan;370Z;Z34;2009;2020;328;1520;4,63;II;fermee;thermique;actif;;2026
Peugeot;308;GTi 270;2015;2021;272;1205;4,43;II;fermee;thermique;actif;;2026
Porsche;911;996 Carrera;1998;2004;300;1320;4,40;II;fermee;thermique;actif;;2026
Porsche;911;996 GT3;1999;2005;360;1350;3,75;II;fermee;thermique;actif;;2026
Porsche;911;997 Carrera S;2004;2012;355;1425;4,01;II;fermee;thermique;actif;;2026
Porsche;911;992 Carrera;2019;;385;1505;3,91;II;fermee;thermique;actif;;2026
Porsche;Boxster;718;2016;;300;1385;4,62;II;decouvrable;thermique;actif;;2026
Porsche;Cayman;987 S;2005;2012;295;1350;4,58;II;fermee;thermique;actif;;2026
Porsche;Cayman;981 S;2012;2016;325;1350;4,15;II;fermee;thermique;actif;;2026
Porsche;Cayman;718;2016;;300;1365;4,55;II;fermee;thermique;actif;;2026
Porsche;Cayman;718 S;2016;;350;1385;3,96;II;fermee;thermique;actif;;2026
Porsche;Cayman;718 GTS 4.0;2020;;400;1405;3,51;II;fermee;thermique;actif;;2026
Porsche;Taycan;4S J1;2020;;530;2220;4,19;II;fermee;electrique;actif;;2026
Renault;Megane;IV RS Trophy;2019;2023;300;1430;4,77;II;fermee;thermique;actif;;2026
Tesla;Model 3;Performance;2019;;510;1850;3,63;II;fermee;electrique;actif;;2026
